number,hex,name
060 80 30,E7BF93,Mild orange
060 80 40,EDBA82,Apricot orange
060 85 05,DBD3C9,Champagne rose
060 85 10,E1D3C1,Cornmeal beige
060 85 20,E9CFB2,Dough yellow
060 85 30,F4CDA1,Light saffron orange
060 90 05,EBE2D7,Grain white
060 90 10,F0E0CF,Vanilla cream
060 90 15,F4DDC6,Apricot cream
060 93 05,F3EBE2,Wool white
070 30 10,4A4437,Mineral brown
070 30 20,53452E,Beech brown
070 40 10,625C4D,Mink brown
070 40 20,695A3E,Huckleberry brown
070 40 30,705A33,Arable brown
070 40 40,755823,Autumn gold
070 50 10,7A7465,Saruk grey
070 50 20,837356,Ash gold
070 50 30,887145,Lion's mane blonde
070 50 40,8F6F34,Antique gold
070 50 50,907031,Stage gold
070 50 55,98712B,Theatre gold
070 60 10,948C7C,Light mahogany
070 60 20,9C8D6F,Dark blond
070 60 30,A3895E,Light oak brown
070 60 40,AA894C,Grain brown
070 60 50,B0893B,Mud yellow
070 60 60,B6862A,Mustard yellow
070 60 70,BC8318,Sea buckthorn yellow brown
070 60 75,BD8209,Autumn leaf orange
070 70 10,AFA897,Ginger grey yellow
070 70 20,B9A787,Light ash brown
070 70 30,C2A877,Golden beige
070 70 40,C9A565,Dechant pear yellow
070 70 50,CEA456,Honeycomb yellow
070 70 60,D9A344,Gorse yellow orange
070 70 70,D99D2C,Naples yellow
070 70 80,DC9914,Saffron gold
070 80 10,CEC5B2,Flax beige
070 80 20,D9C6A2,Buttercup yellow
070 80 30,E1C392,Golden oat coloured
070 80 40,E9C383,Apricot yellow
070 80 50,F0C170,Warm apricot
070 80 60,F8BF5D,Golden rain yellow
070 85 05,D8D2C6,Almond beige
070 85 10,DED3BF,Silver thistle beige
070 85 20,E7D1AB,Sandalwood beige
070 85 30,EFD29E,Hair blonde
070 90 05,ECE4D9,Off white
070 90 10,EEE3D0,Light corn
070 90 20,F7E2BE,Chalk yellow
070 93 05,F3EDE2,Anemone white
075 40 10,625D4F,Tree bark brown
075 40 20,675B40,Caraway brown
075 40 30,6B5930,Bark brown
075 40 38,705A23,Lizard brown
075 50 10,7B7566,Rye dough brown
075 50 20,827456,China cinnamon
075 50 30,897547,Grog yellow
075 50 40,8D7337,Amber brown
075 50 50,917224,Cinnamon brown
075 50 58,926F04,Cumin ochre
075 60 10,97907F,Putty yellow
075 60 20,9D8E6E,Walnut shell brown
075 60 30,A38E5F,Clay ochre
075 60 40,A98E50,Funchal yellow
075 60 50,AC8C3C,Mango brown
075 60 60,B28925,Turmeric brown
075 60 70,B68804,Bamboo brown
075 70 10,B1AB99,Flax fibre grey
075 70 20,B9A985,Light pumpkin brown
075 70 30,BFA976,Golden thistle yellow
075 70 40,C5A764,Brick yellow
075 70 50,CBA655,Deep bamboo yellow
075 70 60,D1A43F,Intense yellow
075 70 70,D7A427,Pumpkin yellow
075 70 80,D6A209,Autumn yellow
075 80 10,D0C6B3,Chalk beige
075 80 20,D7C6A2,Light corn yellow
075 80 30,DCC58F,Dark yellow
075 80 40,E3C380,Ash yellow
075 80 50,E8C06D,Orient yellow
075 80 60,EFBF5D,Carriage yellow
075 85 10,DFD5C0,Water lily white
075 85 20,E6D4AE,Banana ice cream
075 85 30,EDD39E,Maple beige
075 85 40,F3D28D,Goldenrod yellow
075 90 10,F1E6CF,Dessert cream
075 90 20,F5E2BD,Butter white
075 93 05,F2EEE2,Vanilla white
080 20 05,33312B,Night brown black
080 20 10,353122,Vanilla bean brown
080 30 05,49453E,Earth black
080 30 10,494435,Olive black
080 30 20,4F4428,Clove yellow brown
080 30 26,52441F,Smoked oak brown
080 40 05,615D56,Office grey
080 40 10,635E4E,Stone brown
080 40 20,665B3C,Pimento grain brown
080 40 30,6B5B2F,Ochre green
080 40 40,715C1B,Autumn leaf brown
080 50 05,78756D,Dusk grey
080 50 10,7B7666,Rye brown
080 50 20,817656,Greyish yellow
080 50 30,847545,Chili green
080 50 40,887436,Dirt yellow
080 50 50,8D7524,Chamois yellow
080 60 05,928F87,Flannel grey
080 60 10,948E7C,Light khaki
080 60 20,9B8F6C,Spelt grain brown
080 60 30,A08E5B,Golden quartz ochre
080 60 40,A38E4F,Bamboo yellow
080 60 50,A88E3C,Brass yellow
080 60 60,AD8E23,Fig mustard yellow
080 60 70,AF8D08,Yellow gold
080 70 05,AEAAA1,Garlic beige
080 70 10,B0AA97,Fine greige
080 70 20,B6AA86,Yellow brown
080 70 30,BBA976,Mustard seed beige
080 70 40,C2AA64,Diamond yellow
080 70 50,C6A953,Antique brass
080 70 60,CBAA40,Courgette yellow
080 70 70,CFAA2C,Grapefruit yellow
080 70 80,D1A706,Sunflower yellow
080 70 88,D2A600,Arnica yellow
080 80 05,CBC6BC,Micaceous light grey
080 80 10,CFC7B3,Pastel sand
080 80 20,D4C69F,Natural rice beige
080 80 30,D9C58E,Yellow beige
080 80 40,E0C57D,Straw yellow
080 80 50,E5C56C,Mirabelle yellow
080 80 60,EAC557,Full yellow
080 80 70,ECC345,Pear yellow
080 80 80,F1C12B,Fire yellow
080 80 90,F4C208,Summer yellow
080 85 05,D8D2C6,Wheat flour white
080 85 10,DBD2BE,Onion white
080 85 20,E3D4AF,Nashi pear beige
080 85 30,E8D39D,Vespa yellow
080 85 40,EFD38A,Puff pastry yellow
080 90 05,ECE6D9,Japanese white
080 90 10,ECE3CD,Mushroom white
080 90 20,F1E1BB,Macadamia beige
080 90 30,F8E3AB,Horseradish yellow
080 93 05,F1EBDF,Milk star white
085 40 10,626050,Mineral green
085 40 20,645E3E,Khaki green
085 40 30,6A6034,Moss brown
085 50 10,7A7764,Coriander ochre
085 50 20,7F7756,Pyrite slate green
085 50 30,837847,Sepia yellow
085 50 40,847636,Marshy green
085 50 50,887725,Honey yellow green
085 60 10,94907F,Matte olive
085 60 20,9A906E,Pond green
085 60 30,9E905E,Wood green
085 60 40,A1914E,Lichen green
085 60 50,A5923B,Mineral umber
085 60 60,A89224,Loden yellow
085 70 10,ADAA96,Raffia greige
085 70 20,B5AA87,Feldspar grey
085 70 30,B9AB74,Hay yellow
085 70 40,BCAA65,Winter pear beige
085 70 50,C1AB51,Autumn apple yellow
